City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto ayora,-0.7393,-90.3518,23.64,97,92,1.53,EC,1709713685
84,poronaysk,49.2167,143.1167,-10.7,92,96,1.85,RU,1709713685
85,ilabaya,-17.4208,-70.5133,19.71,84,99,1.05,PE,1709713686
86,port elizabeth,-33.918,25.5701,23.94,57,20,7.2,ZA,1709713408
87,sao joao da barra,-21.6403,-41.0511,25.36,87,100,2.66,BR,1709713686
88,nouna,12.7333,-3.8667,27.31,9,34,4.47,BF,1709713686
89,ranau,5.9538,116.6641,25.63,86,97,0.97,MY,1709713686
90,chonchi,-42.6128,-73.8092,6.56,95,93,0.89,CL,1709713686
91,qaqortoq,60.7167,-46.0333,-13.93,93,100,1.35,GL,1709713686
92,zhangye,38.9342,100.4517,2.51,28,20,7.61,CN,1709713686
93,flying fish cove,-10.4217,105.6791,26.82,94,100,2.06,CX,1709713686
94,keflavik,64.0049,-22.5624,8.24,87,75,13.38,IS,1709713686
95,st. john's,47.5649,-52.7093,0.54,90,100,10.8,CA,1709713687
96,gomez farias,23.05,-99.15,20.56,85,1,1.13,MX,1709713687
97,mar del plata,-38.0023,-57.5575,12.15,86,54,2.24,AR,1709713410
98,lebu,-37.6167,-73.65,13.18,88,18,7.59,CL,1709713687
99,ribeira grande,38.5167,-28.7,14.22,62,75,13.38,PT,1709713687
100,kyosai,34.8503,128.5886,7.98,64,60,5.95,KR,1709713687
101,novodvinsk,64.4165,40.8122,-3.14,96,100,2.44,RU,1709713687
102,poso,-1.3959,120.7524,30.07,70,71,1.91,ID,1709713687
103,ancud,-41.8697,-73.8203,8.54,85,92,1.48,CL,1709713687
104,isafjordur,66.0755,-23.124,2.02,80,0,1.54,IS,1709713687
105,bikenibeu village,1.3673,173.1241,26.98,89,100,4.63,KI,1709713687
106,wynyard,-41.0,145.7167,20.34,47,4,4.59,AU,1709713688
107,taoudenni,22.6783,-3.9836,20.43,17,0,4.89,ML,1709713688
108,enoch,37.7733,-113.0244,3.04,55,0,1.54,US,1709713688
109,menongue,-14.6585,17.691,27.04,48,51,2.48,AO,1709713688
110,kismayo,-0.3582,42.5454,31.04,61,10,5.82,SO,1709713688
111,dumai,1.6833,101.45,28.84,84,100,0.94,ID,1709713523
112,kokpekty,48.75,82.4,-11.27,89,86,2.05,KZ,1709713689
113,colonia,50.9333,6.95,7.75,89,75,1.54,DE,1709713447
114,glendive,47.1053,-104.7125,-5.21,93,100,5.14,US,1709713689
115,iqaluit,63.7506,-68.5145,-35.73,66,0,1.54,CA,1709713689
116,vadso,70.0744,29.7487,1.49,93,75,2.06,NO,1709713689
117,viedma,-40.8135,-62.9967,16.09,63,3,6.13,AR,1709713689
118,road town,18.4167,-64.6167,23.05,73,4,5.64,VG,1709713416
119,paradip garh,20.3167,86.6167,29.29,57,5,5.72,IN,1709713690
120,lata,40.1629,-8.3327,5.6,79,100,1.4,PT,1709713690
121,malango,-2.9627,119.9001,25.19,92,93,0.96,ID,1709713690
122,borogontsy,62.6683,131.1683,-18.74,96,100,1.14,RU,1709713690
123,san pedro pochutla,15.7333,-96.4667,21.98,78,0,1.52,MX,1709713690
124,polygyros,40.3744,23.4383,11.85,72,15,0.92,GR,1709713690
